RS6426_MB_v10_BRD_20241106
Net,PE4_AM5_PT21_C_TXP0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXP0,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXN1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXN1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXP1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXP1,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXN3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXN3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXP3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXP3,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXN2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXN2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_C_TXP2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AM5_PT21_TXP2,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AQC113_1_TXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_PT21_AQC113_1_TXN,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
Net,PE4_AQC113_1_TXP,25.200:0.000:15.000:15.000:0.000:25.200,5.000,8.000,5.000,5.000
